airport_icao;visibility;wind_speed;wind_direction;rvr;runway_designator_number;runway_designator_side;runway_ils_category;headwind;crosswind;ceiling;weather_phenomenon;ILS;RNAV;RNP;VISUAL
KJFK;10.0;6;200;>6000 ;22;R;CAT III;5.6;2.1;16000.0;None;1;0;0;0
KIAD;10.0;19;300;>6000 ;1;R;CAT III;6.5;17.9;19000.0;None;1;0;0;1
KIAD;10.0;19;300;>6000 ;1;C;CAT III;6.5;17.9;19000.0;None;1;0;0;1
KIAD;10.0;19;300;>6000 ;1;L;CAT III;6.5;17.9;19000.0;None;1;0;0;1
KSFO;10.0;7;240;>6000 ;28;R;CAT III;5.4;4.5;1100.0;None;1;0;0;0
KSFO;10.0;7;240;>6000 ;28;L;CAT III;5.4;4.5;1100.0;None;1;0;0;0
KLAX;10.0;6;230;>6000 ;24;R;No ILS;5.9;1.0;2700.0;None;0;1;1;1
KATL;10.0;9;280;>6000 ;26;R;No ILS;8.5;3.1;-1.0;None;0;0;0;1
KATL;10.0;9;280;>6000 ;27;L;No ILS;8.9;1.6;-1.0;None;0;0;0;1
KATL;10.0;9;280;>6000 ;28;X;No ILS;9.0;0.0;-1.0;None;0;0;0;1
KORD;10.0;14;10;>6000 ;27;R;CAT III;-2.4;13.8;-1.0;None;1;0;0;0
KORD;10.0;14;10;>6000 ;28;C;CAT III;0.0;14.0;-1.0;None;1;0;0;0
KSFO;10.0;10;260;>6000 ;28;R;CAT III;9.4;3.4;1500.0;None;1;0;0;0
KSFO;10.0;10;260;>6000 ;28;L;CAT III;9.4;3.4;1500.0;None;1;0;0;0
KATL;10.0;14;270;>6000 ;26;R;No ILS;13.8;2.4;-1.0;None;0;0;0;1
KATL;10.0;14;270;>6000 ;27;L;No ILS;14.0;0.0;-1.0;None;0;0;0;1
KATL;10.0;14;270;>6000 ;28;X;No ILS;13.8;2.4;-1.0;None;0;0;0;1
KLAX;10.0;6;230;>6000 ;24;R;No ILS;5.9;1.0;2400.0;None;0;1;1;1
KJFK;10.0;8;220;>6000 ;22;L;CAT III;8.0;0.0;-1.0;None;1;0;0;0
KJFK;10.0;8;220;>6000 ;22;R;CAT III;8.0;0.0;-1.0;None;1;0;0;0
KIAD;10.0;23;320;>6000 ;30;X;No ILS;21.6;7.9;18000.0;None;0;1;0;0
KORD;10.0;12;350;>6000 ;27;R;CAT III;2.1;11.8;-1.0;None;1;0;0;0
KORD;10.0;12;350;>6000 ;28;C;CAT III;4.1;11.3;-1.0;None;1;0;0;0
KLAX;10.0;8;240;>6000 ;24;R;No ILS;8.0;0.0;1700.0;None;0;1;1;1
KJFK;10.0;11;200;>6000 ;22;L;CAT III;10.3;3.8;-1.0;None;1;0;0;0
KJFK;10.0;11;200;>6000 ;22;R;CAT III;10.3;3.8;-1.0;None;1;0;0;0
KIAD;10.0;23;300;>6000 ;30;X;No ILS;23.0;0.0;-1.0;None;0;1;0;0
KSFO;10.0;7;250;>6000 ;28;R;CAT III;6.1;3.5;-1.0;None;1;0;0;0
KSFO;10.0;7;250;>6000 ;28;L;CAT III;6.1;3.5;-1.0;None;1;0;0;0
KATL;10.0;15;270;>6000 ;26;R;No ILS;14.8;2.6;-1.0;None;0;0;0;1
KATL;10.0;15;270;>6000 ;27;L;No ILS;15.0;0.0;-1.0;None;0;0;0;1
KATL;10.0;15;270;>6000 ;28;X;No ILS;14.8;2.6;-1.0;None;0;0;0;1
KORD;10.0;6;330;>6000 ;27;C;CAT III;3.0;5.2;-1.0;None;1;0;0;1
KORD;10.0;6;330;>6000 ;27;R;CAT III;3.0;5.2;-1.0;None;1;0;0;1
KORD;10.0;6;330;>6000 ;28;C;CAT III;3.9;4.6;-1.0;None;1;0;0;1
KLAX;10.0;6;220;>6000 ;24;R;No ILS;5.6;2.1;2100.0;None;0;1;1;1
KSFO;10.0;12;260;>6000 ;28;R;CAT III;11.3;4.1;1600.0;None;1;0;0;0
KSFO;10.0;12;260;>6000 ;28;L;CAT III;11.3;4.1;1600.0;None;1;0;0;0
KIAD;10.0;25;330;>6000 ;30;X;No ILS;21.7;12.5;-1.0;None;0;1;0;0
KORD;10.0;11;360;>6000 ;27;C;CAT III;0.0;11.0;-1.0;None;1;0;0;1
KORD;10.0;11;360;>6000 ;27;R;CAT III;0.0;11.0;-1.0;None;1;0;0;1
KORD;10.0;11;360;>6000 ;28;C;CAT III;1.9;10.8;-1.0;None;1;0;0;1
KJFK;10.0;21;290;>6000 ;31;R;CAT III;19.7;7.2;9500.0;None;1;0;0;1
KJFK;10.0;21;290;>6000 ;31;L;CAT III;19.7;7.2;9500.0;None;1;0;0;1
KATL;10.0;16;260;>6000 ;26;R;No ILS;16.0;0.0;25000.0;None;0;0;0;1
KATL;10.0;16;260;>6000 ;27;L;No ILS;15.8;2.8;25000.0;None;0;0;0;1
KATL;10.0;16;260;>6000 ;28;X;No ILS;15.0;5.5;25000.0;None;0;0;0;1
KLAX;10.0;7;250;>6000 ;24;R;No ILS;6.9;1.2;2600.0;None;0;1;1;1
KIAD;10.0;24;330;>6000 ;30;X;No ILS;20.8;12.0;25000.0;None;0;1;0;0
KJFK;10.0;26;300;>6000 ;31;R;CAT III;25.6;4.5;8500.0;None;1;0;0;1
KJFK;10.0;26;300;>6000 ;31;L;CAT III;25.6;4.5;8500.0;None;1;0;0;1
KORD;10.0;8;330;>6000 ;27;C;CAT III;4.0;6.9;-1.0;None;1;0;0;1
KORD;10.0;8;330;>6000 ;27;R;CAT III;4.0;6.9;-1.0;None;1;0;0;1
KORD;10.0;8;330;>6000 ;28;C;CAT III;5.1;6.1;-1.0;None;1;0;0;1
KATL;10.0;21;300;>6000 ;26;R;No ILS;16.1;13.5;-1.0;None;0;0;0;1
KATL;10.0;21;300;>6000 ;27;L;No ILS;18.2;10.5;-1.0;None;0;0;0;1
KATL;10.0;21;300;>6000 ;28;X;No ILS;19.7;7.2;-1.0;None;0;0;0;1
KORD;10.0;7;340;>6000 ;27;C;CAT III;2.4;6.6;-1.0;None;1;0;0;1
KORD;10.0;7;340;>6000 ;27;R;CAT III;2.4;6.6;-1.0;None;1;0;0;1
KORD;10.0;7;340;>6000 ;28;C;CAT III;3.5;6.1;-1.0;None;1;0;0;1
KIAD;10.0;25;330;>6000 ;30;X;No ILS;21.7;12.5;25000.0;None;0;1;0;0
KATL;10.0;18;320;>6000 ;26;R;No ILS;9.0;15.6;-1.0;None;0;0;0;1
KATL;10.0;18;320;>6000 ;27;L;No ILS;11.6;13.8;-1.0;None;0;0;0;1
KATL;10.0;18;320;>6000 ;28;X;No ILS;13.8;11.6;-1.0;None;0;0;0;1
KJFK;10.0;25;300;>6000 ;31;R;CAT III;24.6;4.3;11000.0;None;1;0;0;1
KJFK;10.0;25;300;>6000 ;31;L;CAT III;24.6;4.3;11000.0;None;1;0;0;1
KIAD;10.0;24;340;>6000 ;1;R;CAT III;20.8;12.0;11000.0;None;1;1;0;1
KIAD;10.0;24;340;>6000 ;30;X;CAT III;18.4;15.4;11000.0;None;1;1;0;1
KSFO;10.0;18;250;>6000 ;28;R;CAT III;15.6;9.0;1400.0;None;1;0;0;0
KSFO;10.0;18;250;>6000 ;28;L;CAT III;15.6;9.0;1400.0;None;1;0;0;0
KORD;10.0;8;320;>6000 ;28;C;CAT III;6.1;5.1;-1.0;None;1;0;0;1
KORD;10.0;8;320;>6000 ;27;C;CAT III;5.1;6.1;-1.0;None;1;0;0;1
KORD;10.0;8;320;>6000 ;27;R;CAT III;5.1;6.1;-1.0;None;1;0;0;1
KJFK;10.0;20;310;>6000 ;31;R;CAT III;20.0;0.0;10000.0;None;1;0;0;1
KJFK;10.0;20;310;>6000 ;31;L;CAT III;20.0;0.0;10000.0;None;1;0;0;1
KATL;10.0;22;300;>6000 ;26;R;No ILS;16.9;14.1;25000.0;None;0;0;0;1
KATL;10.0;22;300;>6000 ;27;L;No ILS;19.1;11.0;25000.0;None;0;0;0;1
KATL;10.0;22;300;>6000 ;28;X;No ILS;20.7;7.5;25000.0;None;0;0;0;1
KATL;10.0;13;310;>6000 ;26;R;No ILS;8.4;10.0;25000.0;None;0;0;0;1
KATL;10.0;13;310;>6000 ;27;L;No ILS;10.0;8.4;25000.0;None;0;0;0;1
KATL;10.0;13;310;>6000 ;28;X;No ILS;11.3;6.5;25000.0;None;0;0;0;1
KJFK;10.0;22;310;>6000 ;31;R;CAT III;22.0;0.0;-1.0;None;1;0;0;1
KJFK;10.0;22;310;>6000 ;31;L;CAT III;22.0;0.0;-1.0;None;1;0;0;1
KORD;10.0;10;310;>6000 ;28;C;CAT III;8.7;5.0;-1.0;None;1;0;0;1
KORD;10.0;10;310;>6000 ;27;C;CAT III;7.7;6.4;-1.0;None;1;0;0;1
KORD;10.0;10;310;>6000 ;27;R;CAT III;7.7;6.4;-1.0;None;1;0;0;1
KSFO;10.0;13;240;>6000 ;28;R;CAT III;10.0;8.4;1400.0;None;1;0;0;0
KSFO;10.0;13;240;>6000 ;28;L;CAT III;10.0;8.4;1400.0;None;1;0;0;0
KIAD;10.0;20;350;>6000 ;1;R;CAT III;18.8;6.8;10000.0;None;1;1;0;1
KIAD;10.0;20;350;>6000 ;30;X;CAT III;12.9;15.3;10000.0;None;1;1;0;1
KJFK;10.0;16;330;>6000 ;31;R;CAT III;15.0;5.5;15000.0;None;1;0;0;1
KJFK;10.0;16;330;>6000 ;31;L;CAT III;15.0;5.5;15000.0;None;1;0;0;1
KATL;10.0;17;300;>6000 ;26;R;No ILS;13.0;10.9;25000.0;None;0;0;0;1
