airport_icao;visibility;wind_speed;wind_gust;wind_direction;rvr;rvr_tendency;runway_designator_number;runway_designator_side;runway_ils_category;headwind;crosswind;ceiling;weather_phenomenon;ILS;RNAV;RNP;VISUAL
KSFO;10.0;3;0;270;6000.0;Excellent;28;R;CAT III;3.0;-0.5;99999;No Phenomenon;0;0;0;1
KJFK;10.0;10;0;230;6000.0;Excellent;31;L;CAT I;1.7;-9.8;99999;No Phenomenon;1;0;0;1
KJFK;10.0;10;0;230;6000.0;Excellent;31;R;CAT I;1.7;-9.8;99999;No Phenomenon;1;0;0;1
KLAX;10.0;0;0;0;6000.0;Excellent;25;R;CAT III;-0.0;0.0;99999;No Phenomenon;0;0;1;1
KATL;10.0;4;0;40;6000.0;Excellent;8;L;CAT III;3.1;-2.6;1700;-RA;1;1;0;0
KORD;10.0;7;0;230;6000.0;Excellent;28;R;CAT III;4.5;-5.4;99999;No Phenomenon;1;0;0;0
KIAD;10.0;3;0;190;6000.0;Excellent;19;L;CAT III;3.0;0.0;99999;No Phenomenon;1;0;0;1
KIAD;10.0;3;0;190;6000.0;Excellent;19;R;CAT III;3.0;0.0;99999;No Phenomenon;1;0;0;1
KJFK;10.0;6;0;220;6000.0;Excellent;31;L;CAT I;-0.0;-6.0;99999;No Phenomenon;1;0;0;1
KJFK;10.0;6;0;220;6000.0;Excellent;31;R;CAT I;-0.0;-6.0;99999;No Phenomenon;1;0;0;1
KIAD;10.0;6;0;200;6000.0;Excellent;19;L;CAT III;5.9;1.0;99999;No Phenomenon;1;0;0;1
KIAD;10.0;6;0;200;6000.0;Excellent;19;R;CAT III;5.9;1.0;99999;No Phenomenon;1;0;0;1
KLAX;10.0;0;0;0;6000.0;Excellent;25;R;CAT III;-0.0;0.0;99999;No Phenomenon;0;0;1;1
KATL;8.0;8;0;30;6000.0;Excellent;8;L;CAT III;5.1;-6.1;7500;-RA;1;1;0;0
KSFO;10.0;3;0;240;6000.0;Excellent;28;R;CAT III;2.3;-1.9;99999;No Phenomenon;0;0;0;1
KORD;10.0;6;0;240;6000.0;Excellent;28;C;CAT III;4.6;-3.9;99999;No Phenomenon;1;0;0;0
KORD;10.0;5;0;230;6000.0;Excellent;28;C;CAT III;3.2;-3.8;99999;No Phenomenon;1;0;0;0
KATL;9.0;9;0;50;6000.0;Excellent;8;L;CAT III;7.8;-4.5;1800;-RA;1;1;0;0
KJFK;10.0;11;0;230;6000.0;Excellent;22;L;CAT III;10.8;1.9;99999;No Phenomenon;1;0;0;0
KJFK;10.0;11;0;230;6000.0;Excellent;22;R;CAT I;10.8;1.9;99999;No Phenomenon;1;0;0;0
KIAD;10.0;4;0;200;6000.0;Excellent;19;C;CAT III;3.9;0.7;99999;No Phenomenon;1;0;0;1
KIAD;10.0;4;0;200;6000.0;Excellent;19;L;CAT III;3.9;0.7;99999;No Phenomenon;1;0;0;1
KIAD;10.0;4;0;200;6000.0;Excellent;19;R;CAT III;3.9;0.7;99999;No Phenomenon;1;0;0;1
KLAX;10.0;0;0;0;6000.0;Excellent;25;R;CAT III;-0.0;0.0;99999;No Phenomenon;0;0;1;1
KSFO;10.0;0;0;0;6000.0;Excellent;28;R;CAT III;0.0;0.0;99999;No Phenomenon;0;0;0;1
KATL;9.0;14;0;60;6000.0;Excellent;8;L;CAT III;13.2;-4.8;7000;-RA;1;1;0;0
KLAX;10.0;0;0;0;6000.0;Excellent;25;R;CAT III;-0.0;0.0;99999;No Phenomenon;0;0;1;1
KORD;10.0;5;0;220;6000.0;Excellent;27;C;CAT III;3.2;-3.8;99999;No Phenomenon;1;0;0;1
KORD;10.0;5;0;220;6000.0;Excellent;27;R;CAT III;3.2;-3.8;99999;No Phenomenon;1;0;0;1
KORD;10.0;5;0;220;6000.0;Excellent;28;C;CAT III;2.5;-4.3;99999;No Phenomenon;1;0;0;1
KJFK;10.0;11;0;250;6000.0;Excellent;22;L;CAT III;9.5;5.5;99999;No Phenomenon;1;0;0;0
KJFK;10.0;11;0;250;6000.0;Excellent;22;R;CAT I;9.5;5.5;99999;No Phenomenon;1;0;0;0
KSFO;10.0;0;0;0;6000.0;Excellent;28;R;CAT III;0.0;0.0;99999;No Phenomenon;0;0;0;1
KIAD;10.0;4;0;-1;6000.0;Excellent;19;C;CAT III;-3.9;0.8;99999;No Phenomenon;1;0;0;1
KIAD;10.0;4;0;-1;6000.0;Excellent;19;L;CAT III;-3.9;0.8;99999;No Phenomenon;1;0;0;1
KIAD;10.0;4;0;-1;6000.0;Excellent;19;R;CAT III;-3.9;0.8;99999;No Phenomenon;1;0;0;1
KIAD;10.0;0;0;0;6000.0;Excellent;19;C;CAT III;-0.0;0.0;99999;No Phenomenon;1;0;0;1
KSFO;10.0;4;0;200;6000.0;Excellent;28;R;CAT III;0.7;-3.9;25000;No Phenomenon;0;0;0;1
KLAX;10.0;3;0;200;6000.0;Excellent;25;R;CAT III;1.9;-2.3;99999;No Phenomenon;0;0;1;1
KATL;10.0;7;0;80;6000.0;Excellent;8;L;CAT III;7.0;0.0;2800;-RA;1;1;0;0
KJFK;10.0;10;0;250;6000.0;Excellent;22;L;CAT III;8.7;5.0;25000;No Phenomenon;1;0;0;0
KJFK;10.0;10;0;250;6000.0;Excellent;22;R;CAT I;8.7;5.0;25000;No Phenomenon;1;0;0;0
KORD;10.0;6;0;230;6000.0;Excellent;27;C;CAT III;4.6;-3.9;99999;No Phenomenon;1;0;0;1
KORD;10.0;6;0;230;6000.0;Excellent;27;R;CAT III;4.6;-3.9;99999;No Phenomenon;1;0;0;1
KORD;10.0;6;0;230;6000.0;Excellent;28;C;CAT III;3.9;-4.6;99999;No Phenomenon;1;0;0;1
KSFO;10.0;0;0;0;6000.0;Excellent;28;R;CAT III;0.0;0.0;25000;No Phenomenon;0;0;0;1
KATL;3.0;11;0;60;6000.0;Excellent;8;L;CAT III;10.3;-3.8;3500;RA BR;1;1;0;0
KLAX;10.0;3;0;280;6000.0;Excellent;24;R;CAT III;2.3;1.9;99999;No Phenomenon;0;0;1;1
KLAX;10.0;3;0;280;6000.0;Excellent;25;R;CAT III;2.6;1.5;99999;No Phenomenon;0;0;1;1
KIAD;10.0;0;0;0;6000.0;Excellent;19;C;CAT III;-0.0;0.0;99999;No Phenomenon;1;0;0;1
KORD;10.0;5;0;230;6000.0;Excellent;27;C;CAT III;3.8;-3.2;99999;No Phenomenon;1;0;0;1
KORD;10.0;5;0;230;6000.0;Excellent;27;R;CAT III;3.8;-3.2;99999;No Phenomenon;1;0;0;1
KORD;10.0;5;0;230;6000.0;Excellent;28;C;CAT III;3.2;-3.8;99999;No Phenomenon;1;0;0;1
KJFK;10.0;8;0;260;6000.0;Excellent;22;L;CAT III;6.1;5.1;99999;No Phenomenon;1;0;0;0
KJFK;10.0;8;0;260;6000.0;Excellent;22;R;CAT I;6.1;5.1;99999;No Phenomenon;1;0;0;0
KLAX;10.0;3;0;10;6000.0;Excellent;24;R;CAT III;-1.9;2.3;99999;No Phenomenon;0;0;1;1
KLAX;10.0;3;0;10;6000.0;Excellent;25;L;CAT III;-1.5;2.6;99999;No Phenomenon;0;0;1;1
KLAX;10.0;3;0;10;6000.0;Excellent;25;R;CAT III;-1.5;2.6;99999;No Phenomenon;0;0;1;1
KATL;4.0;6;0;20;6000.0;Excellent;8;L;CAT III;3.0;-5.2;2100;-RA BR;1;1;0;0
KJFK;10.0;10;0;250;6000.0;Excellent;22;L;CAT III;8.7;5.0;99999;No Phenomenon;1;0;0;0
KJFK;10.0;10;0;250;6000.0;Excellent;22;R;CAT I;8.7;5.0;99999;No Phenomenon;1;0;0;0
KIAD;10.0;3;0;230;6000.0;Excellent;19;C;CAT III;2.3;1.9;99999;No Phenomenon;1;0;0;1
KIAD;10.0;3;0;230;6000.0;Excellent;19;L;CAT III;2.3;1.9;99999;No Phenomenon;1;0;0;1
KIAD;10.0;3;0;230;6000.0;Excellent;19;R;CAT III;2.3;1.9;99999;No Phenomenon;1;0;0;1
KORD;10.0;4;0;230;6000.0;Excellent;27;C;CAT III;3.1;-2.6;99999;No Phenomenon;1;0;0;1
KORD;10.0;4;0;230;6000.0;Excellent;27;R;CAT III;3.1;-2.6;99999;No Phenomenon;1;0;0;1
KORD;10.0;4;0;230;6000.0;Excellent;28;C;CAT III;2.6;-3.1;99999;No Phenomenon;1;0;0;1
KSFO;10.0;3;0;270;6000.0;Excellent;28;L;CAT II;3.0;-0.5;25000;No Phenomenon;0;0;0;1
KSFO;10.0;3;0;270;6000.0;Excellent;28;R;CAT III;3.0;-0.5;25000;No Phenomenon;0;0;0;1
KSFO;10.0;3;0;270;6000.0;Excellent;28;L;CAT II;3.0;-0.5;25000;No Phenomenon;0;0;0;1
KSFO;10.0;3;0;270;6000.0;Excellent;28;R;CAT III;3.0;-0.5;25000;No Phenomenon;0;0;0;1
KATL;6.0;8;0;40;6000.0;Excellent;8;L;CAT III;6.1;-5.1;1400;-RA;1;1;0;0
KJFK;10.0;9;0;280;6000.0;Excellent;22;L;CAT III;4.5;7.8;99999;No Phenomenon;1;0;0;0
KJFK;10.0;9;0;280;6000.0;Excellent;22;R;CAT I;4.5;7.8;99999;No Phenomenon;1;0;0;0
KIAD;10.0;4;0;260;6000.0;Excellent;19;C;CAT III;1.4;3.8;99999;No Phenomenon;1;0;0;1
KIAD;10.0;4;0;260;6000.0;Excellent;19;L;CAT III;1.4;3.8;99999;No Phenomenon;1;0;0;1
KIAD;10.0;4;0;260;6000.0;Excellent;19;R;CAT III;1.4;3.8;99999;No Phenomenon;1;0;0;1
KORD;10.0;10;0;230;6000.0;Excellent;27;C;CAT III;7.7;-6.4;99999;No Phenomenon;1;0;0;1
KORD;10.0;10;0;230;6000.0;Excellent;27;R;CAT III;7.7;-6.4;99999;No Phenomenon;1;0;0;1
KORD;10.0;10;0;230;6000.0;Excellent;28;C;CAT III;6.4;-7.7;99999;No Phenomenon;1;0;0;1
KLAX;10.0;4;0;-1;6000.0;Excellent;24;R;CAT III;-1.9;3.5;99999;No Phenomenon;0;0;1;1
KLAX;10.0;4;0;-1;6000.0;Excellent;25;L;CAT III;-1.3;3.8;99999;No Phenomenon;0;0;1;1
KLAX;10.0;4;0;-1;6000.0;Excellent;25;R;CAT III;-1.3;3.8;99999;No Phenomenon;0;0;1;1
KIAD;10.0;4;0;-1;6000.0;Excellent;19;C;CAT III;-3.9;0.8;99999;No Phenomenon;1;0;0;1
KLAX;10.0;6;0;80;6000.0;Excellent;24;R;CAT III;-5.6;-2.1;99999;No Phenomenon;0;0;1;1
KLAX;10.0;6;0;80;6000.0;Excellent;25;L;CAT III;-5.9;-1.0;99999;No Phenomenon;0;0;1;1
KLAX;10.0;6;0;80;6000.0;Excellent;25;R;CAT III;-5.9;-1.0;99999;No Phenomenon;0;0;1;1
KORD;10.0;7;0;230;6000.0;Excellent;27;C;CAT III;5.4;-4.5;99999;No Phenomenon;1;0;0;1
KORD;10.0;7;0;230;6000.0;Excellent;27;R;CAT III;5.4;-4.5;99999;No Phenomenon;1;0;0;1
KORD;10.0;7;0;230;6000.0;Excellent;28;C;CAT III;4.5;-5.4;99999;No Phenomenon;1;0;0;1
KATL;6.0;8;0;30;6000.0;Excellent;8;L;CAT III;5.1;-6.1;1400;-RA BR;1;1;0;0
KJFK;10.0;8;17;260;6000.0;Excellent;22;L;CAT III;6.1;5.1;99999;No Phenomenon;1;0;0;0
KJFK;10.0;8;17;260;6000.0;Excellent;22;R;CAT I;6.1;5.1;99999;No Phenomenon;1;0;0;0
KSFO;10.0;0;0;0;6000.0;Excellent;28;L;CAT II;0.0;0.0;25000;No Phenomenon;0;0;0;1
KSFO;10.0;0;0;0;6000.0;Excellent;28;R;CAT III;0.0;0.0;25000;No Phenomenon;0;0;0;1
KATL;8.0;9;0;40;6000.0;Excellent;8;L;CAT III;6.9;-5.8;1400;-RA;1;1;0;0
KIAD;10.0;4;0;230;6000.0;Excellent;19;C;CAT III;3.1;2.6;99999;No Phenomenon;1;0;0;1
KJFK;10.0;8;0;210;6000.0;Excellent;22;L;CAT III;7.9;-1.4;99999;No Phenomenon;1;0;0;0
KJFK;10.0;8;0;210;6000.0;Excellent;22;R;CAT I;7.9;-1.4;99999;No Phenomenon;1;0;0;0
KLAX;10.0;4;0;100;6000.0;Excellent;24;R;CAT III;-3.1;-2.6;99999;No Phenomenon;0;0;1;1
KLAX;10.0;4;0;100;6000.0;Excellent;25;L;CAT III;-3.5;-2.0;99999;No Phenomenon;0;0;1;1
KLAX;10.0;4;0;100;6000.0;Excellent;25;R;CAT III;-3.5;-2.0;99999;No Phenomenon;0;0;1;1
KORD;10.0;11;0;230;6000.0;Excellent;27;C;CAT III;8.4;-7.1;99999;No Phenomenon;1;0;0;1
KORD;10.0;11;0;230;6000.0;Excellent;27;R;CAT III;8.4;-7.1;99999;No Phenomenon;1;0;0;1
KORD;10.0;11;0;230;6000.0;Excellent;28;C;CAT III;7.1;-8.4;99999;No Phenomenon;1;0;0;1
KSFO;10.0;4;0;360;6000.0;Excellent;28;L;CAT II;0.7;3.9;25000;No Phenomenon;0;0;0;1
KSFO;10.0;4;0;360;6000.0;Excellent;28;R;CAT III;0.7;3.9;25000;No Phenomenon;0;0;0;1
KATL;7.0;11;0;20;6000.0;Excellent;8;L;CAT III;5.5;-9.5;3700;-RA;1;1;0;0
KIAD;10.0;4;0;-1;6000.0;Excellent;19;C;CAT III;-3.9;0.8;99999;No Phenomenon;1;0;0;1
